NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
161,서울특별시 강남구 역삼동,706-20,706,20,한화진넥스빌,43.58,202404,30,"42,300",-,14,개인,개인,2001,언주로86길 11,-,중개거래,서울 강남구,24.06.14
162,서울특별시 강남구 역삼동,722,722,0,경남아너스빌,84.932,202406,20,"151,000",-,17,개인,개인,2002,언주로85길 13,-,중개거래,서울 강남구,-
163,서울특별시 강남구 역삼동,723-21,723,21,탑팰리스,82.88,202307,20,"107,500",-,7,-,-,2004,언주로81길 31,-,중개거래,서울 강남구,24.02.28
164,서울특별시 강남구 역삼동,723-16,723,16,프리빌리지,36.62,202404,13,"56,000",-,6,개인,개인,2017,언주로81길 28,-,중개거래,서울 강남구,24.05.30
165,서울특별시 강남구 역삼동,729-37,729,37,명인갤러리,84.78,202402,5,"109,000",-,1,개인,개인,2002,언주로75길 22,-,중개거래,서울 강남구,24.04.22
166,서울특별시 강남구 역삼동,759-1,759,1,은하수,69.99,202307,10,"160,000",-,7,-,-,1992,언주로70길 24,-,중개거래,서울 강남구,23.09.14
167,서울특별시 강남구 역삼동,783-30,783,30,공간쉐르빌,43.27,202309,9,"63,000",-,4,-,-,2003,언주로63길 32,-,중개거래,서울 성동구,23.10.10
168,서울특별시 강남구 역삼동,783-30,783,30,공간쉐르빌,43.27,202309,5,"60,000",-,3,-,-,2003,언주로63길 32,-,중개거래,서울 강남구,24.01.26
169,서울특별시 강남구 역삼동,757,757,0,역삼래미안,59.4,202309,14,"195,000",104,7,-,-,2005,선릉로69길 19,-,중개거래,서울 강남구,23.12.15
170,서울특별시 강남구 역삼동,757,757,0,역삼래미안,80.87,202308,26,"234,500",102,4,-,-,2005,선릉로69길 19,-,중개거래,서울 강남구,23.10.30
171,서울특별시 강남구 역삼동,757,757,0,역삼래미안,59.53,202310,21,"195,800",111,14,-,-,2005,선릉로69길 19,-,중개거래,서울 강남구 서울 강동구,24.01.15
172,서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202309,27,"200,000",108,15,-,-,2005,선릉로69길 20,-,중개거래,서울 강남구,23.12.29
173,서울특별시 강남구 역삼동,757,757,0,역삼래미안,80.87,202309,16,"238,000",108,6,-,-,2005,선릉로69길 19,-,중개거래,서울 강남구,23.10.12
